Movement,TUT_MOVEMENT 
Pummel,TUT_SHOOTINGRANGE 
Gunner,SLUGGER 
Cascade,TUT_FROG 
Elevate,TUT_JUMP 
Bounce,GRID_TUT_BALLOON 
Purify,TUT_BOMB2 
Climb,TUT_BOMBJUMP 
Fasttrack,TUT_FASTTRACK 
Glass Port,GRID_PORT 
Take Flight,GRID_PAGODA 
Godspeed,TUT_RIFLE 
Dasher,TUT_RIFLEJOCK 
Thrasher,TUT_DASHENEMY 
Outstretched,GRID_JUMPDASH 
Smackdown,GRID_SMACKDOWN 
Catwalk,GRID_MEATY_BALLOONS 
Fastlane,GRID_FAST_BALLOON 
Distinguish,GRID_DRAGON2 
Dancer,GRID_DASHDANCE 
Guardian,TUT_GUARDIAN 
Stomp,TUT_UZI 
Jumper,TUT_JUMPER 
Dash Tower,TUT_BOMB 
Descent,GRID_DESCEND 
Driller,GRID_STAMPEROUT 
Canals,GRID_CRUISE 
Sprint,GRID_SPRINT 
Mountain,GRID_MOUNTAIN 
Superkinetic,GRID_SUPERKINETIC 
Arrival,GRID_ARRIVAL 
Forgotten City,FLOATING 
The Clocktower,GRID_BOSS_YELLOW 
Fireball,GRID_HOPHOP 
Ringer,GRID_RINGER_TUTORIAL 
Cleaner,GRID_RINGER_EXPLORATION 
Warehouse,GRID_HOPSCOTCH 
Boom,GRID_BOOM 
Streets,GRID_SNAKE_IN_MY_BOOT 
Steps,GRID_FLOCK 
Demolition,GRID_BOMBS_AHOY 
Arcs,GRID_ARCS 
Apartment,GRID_APARTMENT 
Hanging Gardens,TUT_TRIPWIRE 
Tangled,GRID_TANGLED 
Waterworks,GRID_HUNT 
Killswitch,GRID_CANNONS 
Falling,GRID_FALLING 
Shocker,TUT_SHOCKER2 
Bouquet,TUT_SHOCKER 
Prepare,GRID_PREPARE 
Triptrack,GRID_TRIPMAZE 
Race,GRID_RACE 
Bubble,TUT_FORCEFIELD2 
Shield,GRID_SHIELD 
Overlook,SA L VAGE2
Pop,GRID_VERTICAL 
Minefield,GRID_MINEFIELD 
Mimic,TUT_MIMIC 
Trigger,GRID_MIMICPOP 
Greenhouse,GRID_SWARM 
Sweep,GRID_SWITCH 
Fuse,GRID_TRAPS2 
Heaven's Edge,TUT_ROCKETJUMP 
Zipline,TUT_ZIPLINE 
Swing,GRID_CLIMBANG 
Chute,GRID_ROCKETUZI 
Crash,GRID_CRASHLAND 
Ascent,GRID_ESCALATE 
Straightaway,GRID_SPIDERCLAUS 
Firecracker,GRID_FIRECRACKER_2 
Streak,GRID_SPIDERMAN 
Mirror,GRID_DESTRUCTION 
Escalation,GRID_HEAT 
Bolt,GRID_BOLT 
Godstreak,GRID_PON 
Plunge,GRID_CHARGE 
Mayhem,GRID_MIMICFINALE 
Barrage,GRID_BARRAGE 
Estate,GRID_1GUN 
Trapwire,GRID_HECK 
Ricochet,GRID_ANTFARM 
Fortress,GRID_FORTRESS 
Holy Ground,GRID_GODTEMPLE_ENTRY 
The Third Temple,GRID_BOSS_GODSDEATHTEMPLE 
Spree,GRID_EXTERMINATOR 
Breakthrough,GRID_FEVER 
Glide,GRID_SKIPSLIDE 
Closer,GRID_CLOSER 
Hike,GRID_HIKE 
Switch,GRID_SKIP 
Access,GRID_CEILING 
Congregation,GRID_BOOP 
Sequence,GRID_TRIPRAP 
Marathon,GRID_ZIPRAP 
Absolution,GRID_BOSS_RAPTURE 
